"Price","Brand","Body","Mileage","EngineV","Engine.Type","Registration","Year"
4200,"BMW","sedan",277,2,"Petrol","yes",1991
7900,"Mercedes-Benz","van",427,2.9,"Diesel","yes",1999
13300,"Mercedes-Benz","sedan",358,4.7,"Gas","yes",2003
23000,"Audi","crossover",240,4.2,"Petrol","yes",2007
18300,"Toyota","crossover",120,2,"Petrol","yes",2011
40996,"Mercedes-Benz","crossover",0,4.7,"Petrol","yes",2016
6100,"BMW","sedan",438,2,"Gas","yes",1997
14200,"Audi","vagon",200,2.7,"Diesel","yes",2006
10799,"Renault","vagon",193,1.5,"Diesel","yes",2012
1400,"Volkswagen","other",212,1.8,"Gas","no",1999
11950,"Renault","vagon",177,1.5,"Diesel","yes",2011
2500,"Renault","sedan",260,1.79,"Petrol","yes",1994
9500,"Audi","vagon",165,2.7,"Gas","yes",2003
10500,"Volkswagen","sedan",100,1.8,"Petrol","yes",2008
16000,"Toyota","crossover",250,4.7,"Gas","yes",2001
8600,"Renault","hatch",84,1.5,"Diesel","yes",2012
2990,"BMW","other",203,2,"Petrol","no",2001
26500,"Toyota","crossover",21,2,"Petrol","yes",2013
3500,"Audi","vagon",250,2.5,"Diesel","no",1998
38233,"Toyota","other",0,2.4,"Diesel","yes",2016
7500,"Volkswagen","hatch",132,1.4,"Diesel","yes",2006
6800,"Audi","sedan",225,2.4,"Gas","yes",1998
10500,"Mitsubishi","crossover",130,2.4,"Gas","yes",2006
24900,"Audi","sedan",163,4.2,"Diesel","yes",2008
20800,"Volkswagen","crossover",151,3,"Diesel","yes",2008
6500,"Audi","sedan",330,2.4,"Petrol","yes",1999
13566,"Mercedes-Benz","other",171,2.2,"Other","no",2011
8500,"Mitsubishi","hatch",65,1.3,"Petrol","yes",2010
2900,"Audi","sedan",1,2.3,"Gas","yes",1991
21500,"BMW","other",72,3,"Petrol","yes",2007
17900,"Mitsubishi","crossover",87,3.8,"Gas","yes",2008
28500,"BMW","crossover",160,4.8,"Gas","yes",2008
9800,"Volkswagen","van",160,1.9,"Diesel","yes",2009
14500,"Toyota","sedan",147,2.4,"Gas","yes",2006
6000,"BMW","sedan",300,2.8,"Petrol","yes",1996
40993.6,"BMW","crossover",1,2.5,"Diesel","yes",2016
33900,"Audi","other",14,1.8,"Petrol","yes",2014
9800,"Mercedes-Benz","van",230,2.15,"Diesel","yes",2004
40992.16,"Mercedes-Benz","crossover",86,4.7,"Petrol","yes",2009
7700,"BMW","sedan",326,2.8,"Petrol","yes",1998
9600,"Mercedes-Benz","van",30,2.2,"Diesel","yes",2006
12800,"Toyota","sedan",181,2.4,"Petrol","yes",2008
41000,"BMW","crossover",80,3,"Petrol","yes",2012
2500,"Mitsubishi","sedan",220,2.4,"Petrol","yes",1991
3700,"BMW","sedan",231,2.5,"Petrol","yes",1990
29500,"Mercedes-Benz","sedan",134,4.7,"Petrol","yes",2008
6500,"BMW","sedan",335,2.8,"Petrol","yes",1996
8250,"Renault","van",66,1.5,"Diesel","yes",2014
19500,"Mercedes-Benz","crossover",172,3.5,"Other","yes",2008
13500,"Mercedes-Benz","sedan",317,4.7,"Petrol","yes",2001
9200,"Mercedes-Benz","van",266,2.2,"Diesel","yes",2008
5000,"Volkswagen","vagon",265,2,"Diesel","no",2006
23900,"BMW","crossover",162,4.8,"Petrol","yes",2007
36900,"BMW","sedan",81,3,"Diesel","yes",2010
8900,"BMW","other",253,1.8,"Petrol","yes",1995
7800,"Renault","van",200,1.9,"Diesel","yes",2002
40991.296,"BMW","crossover",7,4.4,"Petrol","yes",2015
1650,"BMW","sedan",270,1.8,"Petrol","no",1995
40990.7776,"Mercedes-Benz","sedan",240,3.5,"Petrol","yes",2006
9700,"Renault","van",245,2,"Diesel","yes",2008
9999,"Mercedes-Benz","van",127,2.2,"Diesel","yes",2005
40990.46656,"Audi","crossover",21,3,"Petrol","yes",2015
6500,"Mitsubishi","sedan",152,1.6,"Petrol","yes",2007
